track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
7259	571834	10149034	646	503	4	0	7.0	2
1157362	3522217	6211754	6246	3946	220	12	9.8655	119
1157358	1531020	3319512	3052	2064	74	2	9.873	63
1194315	1070030	3036631	1767	1015	26	0	6.0	3
1093792	758911	2954989	1323	774	168	7	8.1429	7
354778	356531	2798285	1568	691	52	22	7.3333	6
206596	118642	2359922	232	96	4	0	7.3333	3
1093794	324656	2245197	1065	630	135	12	8.7143	7
1180601	1872113	2152656	246	135	5	0	0.0	1
415590	52151	1997334	616	321	12	0	8.0	5
171574	109833	1697726	599	260	15	0	7.6	5
1051196	41186	1691091	327	189	17	0	8.0	2
1119024	235959	1618143	611	392	5	0	9.0	3
242384	75705	1427741	2359	894	23	2	7.25	4
1051197	226408	1416124	550	309	76	2	9.0	6
43886	340593	1408257	2860	1498	24	1	8.6667	6
145968	200004	1405300	895	535	8	0	8.0	2
172031	261594	1354497	637	357	9	4	8.0	4
135660	293904	1295307	691	366	9	6	8.0	2
1157361	270532	1245194	1184	694	33	1	8.0	2
1187970	120629	1154329	736	505	2	0	8.0	2
1176656	206851	1135550	1662	1059	2	0	7.5	4
1009671	47730	1135303	219	103	9	4	9.0	4
1053845	33908	1127108	350	229	2	0	8.0	2
1009672	12852	1115483	131	43	4	0	8.0	2
1036934	202510	1110448	379	181	68	5	8.625	8
1194312	40174	1106282	397	224	21	1	8.0	2
1357118	35772	1091840	280	158	0	0	7.5	2
1093795	78869	1071310	543	320	27	3	8.6667	3
5340	532810	1062857	7053	5108	31	2	6.25	4
457120	36327	1027065	1086	519	21	0	7.0	4
35349	104661	1021824	2216	825	9	1	7.25	4
1356349	16296	1015926	57	25	0	0	7.0	2
135657	31669	1013117	1069	378	11	4	6.75	4
1162014	378246	1004512	1162	718	23	1	7.2	5
1051207	7020	996954	309	145	9	0	8.5	4
5339	406631	981709	7241	5048	53	3	6.6	5
7247	27175	963694	765	583	12	2	8.0	2
1157360	81479	939503	825	532	27	0	9.7647	17
174393	43950	930903	416	218	17	4	6.6667	3
592180	118808	922826	1340	661	11	0	8.75	4
296235	22500	892422	738	447	12	1	7.0	2
439178	15227	886344	77	44	2	0	7.0	2
415600	21290	873719	332	194	1	0	8.0	2
1357120	9825	869088	13	4	0	0	7.0	2
945196	23103	866682	304	187	2	0	7.0	2
1211603	49323	858485	120	80	0	0	8.0	2
1121390	21150	856797	265	157	4	0	8.0	2
1093793	74790	842841	756	471	62	5	8.4286	7
108303	13174	840034	386	196	23	0	8.25	4
510027	6996	826705	247	131	1	0	8.0	2
1211601	14990	824842	155	74	2	1	5.3333	3
172021	81360	820562	577	250	17	9	7.0	3
1036435	23982	819081	627	418	13	1	8.75	4
1009675	4730	815102	81	28	3	0	8.0	2
1169699	13420	813198	74	33	1	0	7.0	2
510028	47347	809854	356	206	34	11	8.0	2
145945	60949	809560	617	412	3	0	8.0	2
177570	100541	805308	693	269	7	1	7.5	4
1254630	436061	789381	1049	652	53	3	8.25	4
242640	24178	787486	1484	941	8	0	9.0	3
1051198	77949	770038	139	70	4	1	8.0	2
208939	6746	767790	117	49	5	0	7.0	2
1097943	88607	764320	247	126	42	2	8.6667	3
1107251	210027	749356	1003	524	81	13	9.3846	13
457127	45930	746313	610	322	1	0	8.0	2
415605	11786	740682	270	114	1	0	8.0	2
357192	59574	737311	297	132	15	9	8.0	2
348881	38525	720304	381	191	19	0	7.25	4
1194317	26511	720161	408	250	7	0	8.0	3
181523	12427	710772	282	113	4	0	8.0	3
741317	17909	707486	269	109	3	0	8.0	2
364090	9097	704331	563	308	7	2	8.0	2
172018	47063	703230	486	278	12	3	8.0	2
945192	31263	695952	388	230	2	0	8.0	2
1051201	14456	690004	237	134	3	0	8.2	5
261271	31301	689089	577	268	10	0	8.6	5
945199	18566	681131	370	225	6	0	8.0	2
402055	99488	680389	1810	782	29	0	0.0	0
1169718	352751	674432	1177	676	22	1	9.0	3
437795	3886	671975	123	61	2	0	8.0	2
242410	43563	662457	1190	768	8	0	8.0	2
1054396	38038	658863	252	137	17	5	8.0	2
364088	38432	657073	656	348	4	0	6.6667	3
1313073	394439	651356	2167	1435	2	0	9.3333	3
1135703	63484	642080	260	123	52	4	7.5	2
208937	5913	636006	140	64	2	0	8.0	2
415597	9315	627252	275	141	2	0	8.0	3
323090	1411	627016	45	19	2	1	8.0	2
378305	12687	621110	137	53	4	0	8.5	2
33323	7722	608116	199	116	2	0	7.0	2
457118	15013	603825	709	414	7	0	9.0	3
1267288	499545	602842	596	333	4	0	0.0	0
243172	8810	600452	1124	751	1	0	8.0	2
356417	20862	600141	137	60	6	0	8.0	2
1009673	9882	598148	149	65	5	1	8.0	3
1009674	28073	582412	162	65	5	1	7.75	4
437793	4379	575113	149	76	6	1	8.6667	3
1408401	37998	573384	533	292	0	0	8.0	1
1334807	269744	572532	3198	1858	0	0	7.5	8
353341	21740	571936	634	203	6	3	8.6667	3
373793	14871	567893	40	13	0	1	8.0	2
242738	7752	563823	1108	719	2	0	8.0	2
1296198	179230	563473	2362	1073	10	0	4.8	5
6719	26580	555511	981	594	5	0	8.0	2
457119	6301	551328	499	278	4	1	8.0	2
296237	12830	544288	577	307	7	0	6.3333	3
1156054	21064	541254	410	232	12	1	9.6667	3
500970	19270	541244	221	105	12	2	8.0	4
1187979	20026	540735	39	14	3	0	8.0	2
43984	7006	539258	146	79	3	0	8.0	2
6721	10654	538286	933	593	4	0	8.0	2
945193	30414	533923	181	103	1	0	9.0	3
356441	9175	530432	146	79	4	0	8.0	2
1135054	54202	530046	516	303	3	0	8.0	2
259288	33924	528316	461	231	4	2	7.0	3
242349	12660	527486	1148	747	0	0	8.0	2
1245192	13321	526623	271	106	0	0	8.0	1
330650	34396	522211	187	106	8	2	8.0	2
48721	17141	521331	335	140	3	0	7.0	3
1169701	12073	520867	48	22	2	0	8.0	3
172015	15381	517261	357	199	5	3	8.6667	3
1312858	44541	514363	119	73	1	0	8.5	4
243734	6077	510951	1116	722	4	0	8.0	2
437791	4366	510175	205	96	4	1	8.0	2
11839	12584	505581	970	575	13	1	8.6667	3
35350	14816	504639	1163	763	1	0	6.0	3
1327741	35600	503941	276	184	0	0	9.0	1
1275424	8099	503512	111	65	2	0	8.0	2
1188123	4084	499865	31	11	0	0	8.0	1
7257	38357	498784	1390	676	5	1	7.0	3
376419	8668	495252	127	42	5	0	8.0	2
145949	24472	495143	1126	491	9	1	8.0	2
1254633	9914	493680	115	65	2	0	8.0	2
1138689	33057	492504	496	288	30	1	9.0	3
1162034	21490	485097	161	83	1	0	8.0	2
296238	17428	482386	582	327	26	1	7.0	2
1173652	74371	474119	1301	724	16	0	5.0	2
1245189	7924	473257	117	51	0	0	9.0	2
785423	133610	468743	1771	796	51	1	8.4	5
1138697	4689	461665	117	71	0	0	8.0	2
187621	44453	458540	414	218	1	0	8.0	2
1218780	9230	456931	139	85	3	0	8.0	2
132870	7750	454403	109	39	5	0	8.6667	3
7096	14775	453793	112	58	0	0	8.0	2
33324	11780	452823	252	157	1	0	8.6667	3
1138688	4963	452130	89	53	1	0	8.0	2
1245183	12117	448079	116	52	0	0	8.0	5
330655	6550	447482	87	41	1	0	8.0	2
304775	8154	446049	105	46	0	0	7.0	2
43988	2804	441500	137	78	1	0	8.0	2
1211608	15346	438724	135	68	0	0	8.0	2
1245186	7130	437780	164	62	1	0	6.0	2
305160	17112	434822	179	84	3	1	8.0	2
259285	8286	432096	445	221	2	0	7.0	2
135659	11655	425030	608	328	5	0	8.0	2
1254634	10024	424769	287	182	2	0	8.0	2
83867	4459	424157	161	72	4	1	8.0	2
103892	5731	421331	139	54	0	0	4.0	3
172023	38098	420995	372	210	7	3	8.0	2
212013	13260	418982	291	108	8	2	7.3333	3
